[ACK] time=1745872926.73, cwnd=2, rtt_sample=0.1130, timeout=0.5306
[ACK] time=1745872927.22, cwnd=2, rtt_sample=0.1313, timeout=0.4379
[ACK] time=1745872927.22, cwnd=3, rtt_sample=0.1187, timeout=0.3992
[ACK] time=1745872927.72, cwnd=4, rtt_sample=0.0818, timeout=0.3693
[ACK] time=1745872927.72, cwnd=3, rtt_sample=0.1213, timeout=0.3647
[ACK] time=1745872927.73, cwnd=4, rtt_sample=0.0652, timeout=0.3470
[ACK] time=1745872928.22, cwnd=3, rtt_sample=0.1403, timeout=0.3562
[ACK] time=1745872928.22, cwnd=2, rtt_sample=0.1031, timeout=0.3531
[ACK] time=1745872928.22, cwnd=1, rtt_sample=0.0823, timeout=0.3453
[ACK] time=1745872928.24, cwnd=2, rtt_sample=0.0560, timeout=0.3327
[ACK] time=1745872928.73, cwnd=1, rtt_sample=0.0909, timeout=0.3330
[ACK] time=1745872928.73, cwnd=1, rtt_sample=0.0927, timeout=0.3338
[ACK] time=1745872929.23, cwnd=1, rtt_sample=0.1349, timeout=0.3458
[ACK] time=1745872929.73, cwnd=2, rtt_sample=0.0592, timeout=0.3341
[ACK] time=1745872930.23, cwnd=1, rtt_sample=0.1447, timeout=0.3487
[ACK] time=1745872930.23, cwnd=1, rtt_sample=0.0905, timeout=0.3447
[ACK] time=1745872930.73, cwnd=1, rtt_sample=0.1390, timeout=0.3549
[ACK] time=1745872931.23, cwnd=1, rtt_sample=0.1489, timeout=0.3650
[ACK] time=1745872931.73, cwnd=1, rtt_sample=0.1462, timeout=0.3716
[ACK] time=1745872932.22, cwnd=1, rtt_sample=0.1246, timeout=0.3706
[ACK] time=1745872932.74, cwnd=1, rtt_sample=0.1059, timeout=0.3649
[ACK] time=1745872933.24, cwnd=1, rtt_sample=0.1490, timeout=0.3723
[ACK] time=1745872933.73, cwnd=1, rtt_sample=0.0869, timeout=0.3609
[ACK] time=1745872934.25, cwnd=1, rtt_sample=0.1284, timeout=0.3638
[ACK] time=1745872934.76, cwnd=1, rtt_sample=0.1056, timeout=0.3598
[ACK] time=1745872935.28, cwnd=2, rtt_sample=0.0502, timeout=0.3419
[ACK] time=1745872935.78, cwnd=1, rtt_sample=0.1251, timeout=0.3491
[ACK] time=1745872935.78, cwnd=1, rtt_sample=0.0911, timeout=0.3451
[ACK] time=1745872936.28, cwnd=1, rtt_sample=0.0655, timeout=0.3353
[ACK] time=1745872936.78, cwnd=1, rtt_sample=0.0767, timeout=0.3312
[ACK] time=1745872937.28, cwnd=1, rtt_sample=0.0562, timeout=0.3227
[ACK] time=1745872937.78, cwnd=1, rtt_sample=0.1060, timeout=0.3299
[ACK] time=1745872938.28, cwnd=1, rtt_sample=0.0972, timeout=0.3328
[ACK] time=1745872938.78, cwnd=1, rtt_sample=0.1166, timeout=0.3401
[ACK] time=1745872939.28, cwnd=1, rtt_sample=0.0963, timeout=0.3400
[ACK] time=1745872939.78, cwnd=1, rtt_sample=0.0865, timeout=0.3372
[ACK] time=1745872940.28, cwnd=1, rtt_sample=0.0560, timeout=0.3270
[ACK] time=1745872940.79, cwnd=1, rtt_sample=0.0592, timeout=0.3204
[ACK] time=1745872941.29, cwnd=1, rtt_sample=0.1021, timeout=0.3272
