Packet Log - Server Side
Timestamp | Packet # | Action | Checksum | Status
Packet Log - Client Side
Timestamp | Packet # | Action | Checksum | Status
1740360531.0583649 | 0 | Sent | 242 | Success
1740360531.060662 | 0 | Received | 242 | Success
1740360531.298521 | 1 | Sent | 128 | Success
1740360531.302203 | 1 | Received | 128 | Success
1740360531.6049972 | 0 | Sent | 239 | Success
1740360531.608821 | 0 | Received | 239 | Success
1740360532.0050921 | 1 | Sent | 247 | Success
1740360532.01064 | 1 | Received | 247 | Success
1740360532.269158 | 0 | Sent | 90 | Success
1740360532.273561 | 0 | Received | 90 | Success
1740360532.283915 | 1 | Sent | 133 | Success
1740360532.287331 | 1 | Received | 133 | Success
1740360532.707434 | 0 | Sent | 17 | Success
1740360532.713326 | 0 | Received | 17 | Success
1740360532.8178298 | 1 | Sent | 212 | Success
1740360532.8233159 | 1 | Received | 212 | Success
1740360532.891136 | 0 | Sent | 170 | Success
1740360532.895173 | 0 | Received | 170 | Success
1740360533.3082 | 1 | Sent | 231 | Success
1740360533.3126762 | 1 | Received | 231 | Success
1740360533.703881 | 0 | Sent | 138 | Success
1740360533.709014 | 0 | Received | 138 | Success
1740360533.795899 | 1 | Sent | 178 | Success
1740360533.80109 | 1 | Received | 178 | Success
1740360533.9369118 | 0 | Sent | 147 | Success
1740360533.942443 | 0 | Received | 147 | Success
1740360534.394611 | 1 | Sent | 210 | Success
1740360534.399812 | 1 | Received | 210 | Success
1740360534.745182 | 0 | Sent | 161 | Success
1740360534.750643 | 0 | Received | 161 | Success
1740360535.091636 | 1 | Sent | 107 | Success
1740360535.096907 | 1 | Received | 107 | Success
1740360535.176384 | 0 | Sent | 121 | Success
1740360535.182091 | 0 | Received | 121 | Success
1740360535.419233 | 1 | Sent | 249 | Success
1740360535.4237618 | 1 | Received | 249 | Success
1740360535.7509341 | 0 | Sent | 8 | Success
1740360535.7539861 | 0 | Received | 8 | Success
1740360535.828681 | 1 | Sent | 197 | Success
1740360535.831085 | 1 | Received | 197 | Success
1740360535.887312 | 0 | Sent | 132 | Success
1740360535.890198 | 0 | Received | 132 | Success
1740360536.0780008 | 1 | Sent | 72 | Success
1740360536.082112 | 1 | Received | 72 | Success
1740360536.563246 | 0 | Sent | 178 | Success
1740360536.567946 | 0 | Received | 178 | Success
1740360536.9880729 | 1 | Sent | 240 | Success
1740360536.993222 | 1 | Received | 240 | Success
1740360537.4193978 | 0 | Sent | 147 | Success
1740360537.4244878 | 0 | Received | 147 | Success
1740360537.834304 | 1 | Sent | 130 | Success
1740360537.838476 | 1 | Received | 130 | Success
1740360538.340035 | 0 | Sent | 71 | Success
1740360538.344964 | 0 | Received | 71 | Success
1740360538.792178 | 1 | Sent | 111 | Success
1740360538.797336 | 1 | Received | 111 | Success
1740360539.08939 | 0 | Sent | 174 | Success
1740360539.0953789 | 0 | Received | 174 | Success
1740360539.1104908 | 1 | Sent | 67 | Success
1740360539.114304 | 1 | Received | 67 | Success
1740360539.417784 | 0 | Sent | 251 | Success
1740360539.422805 | 0 | Received | 251 | Success
1740360539.460104 | 1 | Sent | 91 | Success
1740360539.46489 | 1 | Received | 91 | Success
1740360539.639124 | 0 | Sent | 56 | Success
1740360539.642238 | 0 | Received | 56 | Success
1740360539.698945 | 1 | Sent | 209 | Success
1740360539.702803 | 1 | Received | 209 | Success
1740360539.822224 | 0 | Sent | 197 | Success
1740360539.828563 | 0 | Received | 197 | Success
1740360540.0972228 | 1 | Sent | 37 | Success
1740360540.1017978 | 1 | Received | 37 | Success
1740360540.4747598 | 0 | Sent | 241 | Success
1740360540.480698 | 0 | Received | 241 | Success
1740360540.510256 | 1 | Sent | 179 | Success
1740360540.513314 | 1 | Received | 179 | Success
1740360540.5786638 | 0 | Sent | 113 | Success
1740360540.5839539 | 0 | Received | 113 | Success
1740360540.8357859 | 1 | Sent | 205 | Success
1740360540.838203 | 1 | Received | 205 | Success
1740360541.120236 | 0 | Sent | 129 | Success
1740360541.126272 | 0 | Received | 129 | Success
1740360541.458544 | 1 | Sent | 105 | Success
1740360541.4637198 | 1 | Received | 105 | Success
1740360541.780264 | 0 | Sent | 195 | Success
1740360541.783893 | 0 | Received | 195 | Success
1740360541.920238 | 1 | Sent | 214 | Success
1740360541.9254642 | 1 | Received | 214 | Success
1740360541.9334111 | 0 | Sent | 190 | Success
1740360541.937921 | 0 | Received | 190 | Success
1740360542.155982 | 1 | Sent | 142 | Success
1740360542.158211 | 1 | Received | 142 | Success
1740360542.491549 | 0 | Sent | 101 | Success
1740360542.496782 | 0 | Received | 101 | Success
1740360542.849943 | 1 | Sent | 19 | Success
1740360542.85572 | 1 | Received | 19 | Success
1740360542.90608 | 0 | Sent | 174 | Success
1740360542.9098299 | 0 | Received | 174 | Success
1740360543.19757 | 1 | Sent | 109 | Success
1740360543.2031739 | 1 | Received | 109 | Success
1740360543.2412338 | 0 | Sent | 188 | Success
1740360543.245402 | 0 | Received | 188 | Success
1740360543.361784 | 1 | Sent | 130 | Success
1740360543.367 | 1 | Received | 130 | Success
1740360543.4366012 | 0 | Sent | 101 | Success
1740360543.440969 | 0 | Received | 101 | Success
1740360543.878352 | 1 | Sent | 241 | Success
1740360543.882325 | 1 | Received | 241 | Success
1740360543.97599 | 0 | Sent | 250 | Success
1740360543.980636 | 0 | Received | 250 | Success
1740360544.331829 | 1 | Sent | 2 | Success
1740360544.33701 | 1 | Received | 2 | Success
1740360544.8298812 | 0 | Sent | 34 | Success
1740360544.835289 | 0 | Received | 34 | Success
1740360545.0309749 | 1 | Sent | 204 | Success
1740360545.0390139 | 1 | Received | 204 | Success
1740360545.176908 | 0 | Sent | 234 | Success
1740360545.1830149 | 0 | Received | 234 | Success
1740360545.4440918 | 1 | Sent | 104 | Success
1740360545.4492311 | 1 | Received | 104 | Success
1740360545.459852 | 0 | Sent | 69 | Success
1740360545.464309 | 0 | Received | 69 | Success
1740360545.781386 | 1 | Sent | 170 | Success
1740360545.783176 | 1 | Received | 170 | Success
1740360545.839384 | 0 | Sent | 63 | Success
1740360545.841759 | 0 | Received | 63 | Success
1740360545.852149 | 1 | Sent | 215 | Success
1740360545.854402 | 1 | Received | 215 | Success
1740360546.1670651 | 0 | Sent | 187 | Success
1740360546.172971 | 0 | Received | 187 | Success
1740360546.20988 | 1 | Sent | 56 | Success
1740360546.214009 | 1 | Received | 56 | Success
1740360546.2566268 | 0 | Sent | 227 | Success
1740360546.2609432 | 0 | Received | 227 | Success
1740360546.4955819 | 1 | Sent | 242 | Success
1740360546.50001 | 1 | Received | 242 | Success
1740360546.96855 | 0 | Sent | 111 | Success
1740360546.972682 | 0 | Received | 111 | Success
1740360547.464947 | 1 | Sent | 163 | Success
1740360547.4709508 | 1 | Received | 163 | Success
1740360547.61714 | 0 | Sent | 223 | Success
1740360547.621883 | 0 | Received | 223 | Success
1740360547.897839 | 1 | Sent | 236 | Success
1740360547.9037938 | 1 | Received | 236 | Success
1740360548.2953532 | 0 | Sent | 179 | Success
1740360548.3004642 | 0 | Received | 179 | Success
1740360548.3417358 | 1 | Sent | 38 | Success
1740360548.3456168 | 1 | Received | 38 | Success
1740360548.740087 | 0 | Sent | 62 | Success
1740360548.745111 | 0 | Received | 62 | Success
1740360549.019139 | 1 | Sent | 133 | Success
1740360549.024213 | 1 | Received | 133 | Success
1740360549.218826 | 0 | Sent | 14 | Success
1740360549.224087 | 0 | Received | 14 | Success
1740360549.562411 | 1 | Sent | 173 | Success
1740360549.569599 | 1 | Received | 173 | Success
1740360550.030632 | 0 | Sent | 114 | Success
1740360550.034543 | 0 | Received | 114 | Success
1740360550.441875 | 1 | Sent | 26 | Success
1740360550.446625 | 1 | Received | 26 | Success
1740360550.628798 | 0 | Sent | 124 | Success
1740360550.634835 | 0 | Received | 124 | Success
1740360550.813635 | 1 | Sent | 59 | Success
1740360550.8157172 | 1 | Received | 59 | Success
1740360550.8637152 | 0 | Sent | 234 | Success
1740360550.8664808 | 0 | Received | 234 | Success
1740360550.922882 | 1 | Sent | 194 | Success
1740360550.92595 | 1 | Received | 194 | Success
1740360551.3476548 | 0 | Sent | 30 | Success
1740360551.352052 | 0 | Received | 30 | Success
1740360551.8109262 | 1 | Sent | 237 | Success
1740360551.816016 | 1 | Received | 237 | Success
1740360552.075695 | 0 | Sent | 100 | Success
1740360552.080857 | 0 | Received | 100 | Success
1740360552.318754 | 1 | Sent | 228 | Success
1740360552.324095 | 1 | Received | 228 | Success
1740360552.549106 | 0 | Sent | 42 | Success
1740360552.553388 | 0 | Received | 42 | Success
1740360552.853694 | 1 | Sent | 169 | Success
1740360552.8590689 | 1 | Received | 169 | Success
1740360552.9807649 | 0 | Sent | 15 | Success
1740360552.986794 | 0 | Received | 15 | Success
1740360553.145031 | 1 | Sent | 223 | Success
1740360553.15001 | 1 | Received | 223 | Success
1740360553.547812 | 0 | Sent | 233 | Success
1740360553.5537322 | 0 | Received | 233 | Success
1740360553.775855 | 1 | Sent | 138 | Success
1740360553.780986 | 1 | Received | 138 | Success
1740360553.922459 | 0 | Sent | 137 | Success
1740360553.928959 | 0 | Received | 137 | Success
1740360553.987262 | 1 | Sent | 254 | Success
1740360553.992531 | 1 | Received | 254 | Success
1740360554.2722812 | 0 | Sent | 63 | Success
1740360554.277363 | 0 | Received | 63 | Success
1740360554.472669 | 1 | Sent | 65 | Success
1740360554.4772449 | 1 | Received | 65 | Success
1740360554.799256 | 0 | Sent | 59 | Success
1740360554.804464 | 0 | Received | 59 | Success
1740360554.908566 | 1 | Sent | 218 | Success
1740360554.913941 | 1 | Received | 218 | Success
1740360554.954819 | 0 | Sent | 225 | Success
1740360554.959651 | 0 | Received | 225 | Success
1740360555.030383 | 1 | Sent | 93 | Success
1740360555.034813 | 1 | Received | 93 | Success
1740360555.470463 | 0 | Sent | 58 | Success
1740360555.475054 | 0 | Received | 58 | Success
1740360555.8148952 | 1 | Sent | 195 | Success
1740360555.816774 | 1 | Received | 195 | Success
1740360556.316515 | 0 | Sent | 26 | Success
1740360556.322135 | 0 | Received | 26 | Success
1740360556.774703 | 1 | Sent | 180 | Success
1740360556.778356 | 1 | Received | 180 | Success
1740360556.935555 | 0 | Sent | 31 | Success
1740360556.942486 | 0 | Received | 31 | Success
1740360557.04212 | 1 | Sent | 45 | Success
1740360557.0470982 | 1 | Received | 45 | Success
1740360557.246627 | 0 | Sent | 242 | Success
1740360557.2502642 | 0 | Received | 242 | Success
1740360557.52724 | 1 | Sent | 156 | Success
1740360557.533209 | 1 | Received | 156 | Success
1740360558.025522 | 0 | Sent | 97 | Success
1740360558.031096 | 0 | Received | 97 | Success
1740360558.2697642 | 1 | Sent | 155 | Success
1740360558.27475 | 1 | Received | 155 | Success
1740360558.376097 | 0 | Sent | 146 | Success
1740360558.3817348 | 0 | Received | 146 | Success
1740360558.4851 | 1 | Sent | 229 | Success
1740360558.490196 | 1 | Received | 229 | Success
1740360558.6799629 | 0 | Sent | 171 | Success
1740360558.6852531 | 0 | Received | 171 | Success
1740360558.834346 | 1 | Sent | 210 | Success
1740360558.838798 | 1 | Received | 210 | Success
